,Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
21,spotify:track:6XjJXPP3UiGtAQpYkD01c0,Chittiyaan Kalaiyaan,spotify:artist:5isfxZ3RSdBlSLn3cSFhnI,Meet Bros Anjjan,55,"['filmi', 'modern bollywood']",Roy,65,0.793,0.887,7,-5.285,1,0.0954,0.0962,6.39e-05,0.623,0.602,100.007,246100,4
22,spotify:track:6eTPyEkYUmDUFvNxJdNuOD,"Pani Da Rang Male (From ""Vicky Donor"")",spotify:artist:7qHsapL39aTQsPhixtzVvy,Ayushmann Khurrana,64,"['filmi', 'modern bollywood']",Vicky Donor,0,0.679,0.622,4,-8.514,0,0.0328,0.272,6.52e-05,0.106,0.483,98.028,240787,4
23,spotify:track:6riCsiX9csuomBYnenrtGd,Saadi Galli Aaja,spotify:artist:3dN9MQpjIyNxyeRfz4EDZe,Rochak Kohli,71,"['desi pop', 'modern bollywood']",Nautanki Saala !,69,0.739,0.836,2,-5.155,1,0.0325,0.195,3.64e-06,0.197,0.677,109.011,253417,4
24,spotify:track:0GQngE2rOYvlKwEQjTAsP8,Subhanallah,spotify:artist:1wRPtKGflJrBx9BmLsSwlU,Pritam,86,"['filmi', 'indian instrumental', 'modern bollywood']",Yeh Jawaani Hai Deewani,72,0.302,0.493,9,-5.038,1,0.0451,0.455,0.0,0.134,0.457,88.904,249707,4
25,spotify:track:0Ose0T05P8Ou0GvhwmMKcf,,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,,0,[],,0,0.59,0.531,9,-8.677,0,0.0471,0.628,3.88e-06,0.499,0.482,80.976,307407,4
26,spotify:track:1tlDOttHVIHtJKJazVz0Ho,Nagada Sang Dhol,spotify:artist:0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,82,"['filmi', 'modern bollywood']",Ravishing Deepika,0,0.743,0.921,3,-5.007,0,0.14,0.29,0.0068,0.0402,0.674,113.284,273256,3
27,spotify:track:1R7ChEm1x3mGhDWXKnPSXn,"Daaru Desi (From ""Cocktail"")",spotify:artist:61if35zz1W11GejEkxTLEQ,Benny Dayal,70,"['filmi', 'modern bollywood']",Cocktail,0,0.703,0.786,8,-6.779,0,0.0483,0.198,0.000712,0.101,0.647,93.987,269590,4
28,spotify:track:2zZTXtLqCsICzEcztKjn47,"Tum Hi Ho Bandhu (From ""Cocktail"")",spotify:artist:3tHD07u1ON4uHxmnT9rwqZ,Neeraj Shridhar,66,"['filmi', 'modern bollywood']",Cocktail,0,0.714,0.892,11,-5.342,0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,282012,4
29,spotify:track:0sSapNABKrGwgaMhn0p8uL,Long Drive,spotify:artist:5T2I75UlGBcWd5nVyfmL13,Mika Singh,65,"['filmi', 'modern bollywood']",Khiladi 786,57,0.753,0.89,2,-5.022,1,0.187,0.44,6.82e-06,0.0854,0.283,87.015,268443,4
30,spotify:track:7KF2NJNmZWHhH1KvcfpXGU,"Teri Ore (From ""Singh Is Kinng"")",spotify:artist:3OLGltG8UPIea8sA4w0yg0,Rahat Fateh Ali Khan,72,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",Download This Album - Rahat Fateh Ali Khan,0,0.483,0.798,2,-4.623,1,0.0972,0.176,0.0,0.24,0.691,83.684,339592,4
31,spotify:track:5ZhKD46Q7mhsl0awl7ZMJc,"Jeena Jeena (From ""Badlapur"")",spotify:artist:2oSONSC9zQ4UonDKnLqksx,Atif Aslam,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']","Jeena Jeena (From ""Badlapur"")",2,0.677,0.318,5,-9.196,1,0.028,0.775,0.0,0.118,0.585,104.983,228969,4
32,spotify:track:11ZEzmgtjJhoMHTWGd5IRY,"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")",spotify:artist:2oSONSC9zQ4UonDKnLqksx,Atif Aslam,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),0,0.562,0.735,7,-7.924,0,0.0445,0.144,0.000204,0.177,0.537,90.057,231673,4
33,spotify:track:1yYM7dY6wSJFp5qmxPRLu1,Main Rang Sharbaton Ka,spotify:artist:2oSONSC9zQ4UonDKnLqksx,Atif Aslam,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),66,0.631,0.631,6,-6.934,1,0.0307,0.693,0.0,0.133,0.697,89.975,263152,4
34,spotify:track:2r32XiAWtZbT3eLUvf4pag,Jee Le Zaraa,spotify:artist:6CXEwIaXYfVJ84biCxqc9k,Vishal Dadlani,74,"['filmi', 'modern bollywood']",Talaash,72,0.584,0.698,4,-6.61,0,0.0376,0.447,0.0,0.0699,0.436,79.993,215203,4
35,spotify:track:21Af1fetSINZpmAS3si8DW,Jiya Re,spotify:artist:1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,79,['filmi'],Jab Tak Hai Jaan,59,0.712,0.718,11,-8.286,0,0.0444,0.049,2.02e-05,0.128,0.59,106.012,319216,4
36,spotify:track:35P2Xal9x3GAdOHytyEUFe,,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,,0,[],,0,0.527,0.525,1,-8.106,1,0.0337,0.876,1.41e-05,0.172,0.257,99.638,351588,4
37,spotify:track:1oqagwoBJTUmvfDG6A3QQM,Saree Ke Fall Sa,spotify:artist:4kq8z3vydHjPDggxb16ErB,Nakash Aziz,64,['tollywood'],R... Rajkumar (Original Motion Picture Soundtrack),0,0.595,0.924,0,-4.183,1,0.16,0.266,0.0,0.0498,0.864,124.039,236487,4
38,spotify:track:3AI6k5WqJ73i4gibyUGmVa,"Tere Liye (From ""Prince"")",spotify:artist:2oSONSC9zQ4UonDKnLqksx,Atif Aslam,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",#NowPlaying: Atif Aslam Hits,0,0.624,0.906,11,-4.435,0,0.0516,0.0974,0.0,0.0963,0.634,129.986,279827,4
39,spotify:track:2lkUHTWy2YXmy4WxCWkDYq,"Tera Hone Laga Hoon (From ""Ajab Prem Ki Ghazab Kahani"")",spotify:artist:2oSONSC9zQ4UonDKnLqksx,Atif Aslam,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",Tera Hone Laga Hoon (Original Motion Picture Soundtrack),0,0.685,0.773,8,-5.331,1,0.0308,0.548,0.0,0.195,0.541,119.987,295708,4
40,spotify:track:7EMbHYStV3yat0Ur3M2jBK,"Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",spotify:artist:2oSONSC9zQ4UonDKnLqksx,Atif Aslam,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),0,0.709,0.86,7,-3.97,1,0.0349,0.364,1.33e-06,0.267,0.829,120.036,335766,4
41,spotify:track:3uL1IBFhg52VcQqOwAG01E,Mast Magan,spotify:artist:4YRxDV8wJFPHPTeXepOstw,Arijit Singh,89,"['filmi', 'modern bollywood']",2 States,73,0.659,0.774,7,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995,280161,4
42,spotify:track:1UWacd8x8tPPwmrPB1MoBI,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",spotify:artist:1wRPtKGflJrBx9BmLsSwlU,Pritam,86,"['filmi', 'indian instrumental', 'modern bollywood']",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],74,0.495,0.654,3,-6.639,0,0.0679,0.713,0.0,0.165,0.35,123.896,269032,4
43,spotify:track:6V0cw3ZOtm5oQJrSv4QluQ,"Gerua (From ""Dilwale"")",spotify:artist:1wRPtKGflJrBx9BmLsSwlU,Pritam,86,"['filmi', 'indian instrumental', 'modern bollywood']","Gerua (From ""Dilwale"")",60,0.371,0.668,11,-7.269,0,0.0497,0.636,2e-06,0.294,0.403,87.458,345559,4
44,spotify:track:5HGXuAy0YA1GBRkAny0cvV,Prem Ratan Dhan Payo,spotify:artist:3yMmYEklQ7gLOZXEFNd3xr,Palak Muchhal,66,"['filmi', 'modern bollywood']",Prem Ratan Dhan Payo,50,0.451,0.922,11,-6.26,1,0.216,0.48,3.65e-05,0.0616,0.495,92.409,319343,4
45,spotify:track:6s36KDFgCWW4lqDJ0njm7p,"Raat Bhar (From ""Heropanti"")",spotify:artist:4YRxDV8wJFPHPTeXepOstw,Arijit Singh,89,"['filmi', 'modern bollywood']",Groove With Arijit Singh,57,0.619,0.88,1,-4.549,0,0.0535,0.0173,0.00104,0.166,0.392,129.969,325582,4
46,spotify:track:5XXJqs7f42R8PAY4Xcr0ax,Pareshaan,spotify:artist:7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,67,"['filmi', 'modern bollywood']",Ishaqzaade,57,0.446,0.398,2,-11.353,0,0.0358,0.421,5.48e-05,0.112,0.259,149.839,292075,3
47,spotify:track:1y8Ck6jFOyxNC59SrQJIn6,Jhalla Wallah,spotify:artist:7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,67,"['filmi', 'modern bollywood']",Ishaqzaade,57,0.454,0.552,4,-9.479,1,0.162,0.542,8.93e-06,0.247,0.596,86.994,351425,4
48,spotify:track:0og9wKFGgFFNQnrBe7eisG,Uff Teri Adaa,spotify:artist:1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,74,['filmi'],Karthik Calling Karthik,69,0.647,0.792,2,-9.815,1,0.0373,0.00536,5.82e-05,0.054,0.306,132.032,304089,4
49,spotify:track:3x55c9UVpbURc2T02DLfEM,Te Amo (Duet),spotify:artist:1wRPtKGflJrBx9BmLsSwlU,Pritam,86,"['filmi', 'indian instrumental', 'modern bollywood']",Dum Maaro Dum,62,0.594,0.757,11,-5.381,1,0.0504,0.606,0.0,0.251,0.597,127.894,284723,4
50,spotify:track:3TAhWtQnpoL5Vl9VQPl9fU,Senorita,spotify:artist:0XL6ie7a0NY5FM05b9Rn5L,Farhan Akhtar,55,"['filmi', 'modern bollywood']",Zindagi Na Milegi Dobara,65,0.701,0.681,9,-6.442,1,0.0466,0.134,0.0,0.064,0.81,122.539,229576,4
51,spotify:track:56lHtVpvNxFSKewJKpeYc3,Yaar Naa Miley,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,75,"['filmi', 'hindi hip hop', 'modern bollywood']",Kick,60,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988,243206,4
